poem,poet
چون اناالله در بیابان هدی بشنیده ای \ پس هراسیدن ز چوبی همچو ثعبان شرط نیست,khaghani
از پی مردان اگر خواهی که در میدان شوی \ صف کشیدن گرداوبی گوی و چوگان شرط نیست,saadi
ور همی دعوی کنی گویی که لی صبر جمیل \ پس فغان و زاری اندر بیت احزان شرط نیست,sanaee
چون جمال یوسفی غایب شدست از پیش تو \ پس نشستن ایمن اندر شهر کنعان شرط نیست,khaghani
ور همی دانی که منزلگاه حق جز عرش نیست \ پس مهار اشتر کشیدن در بیابان شرط نیست,sanaee
هر که در راه عشق صادق نیست \ جز مرایی و جز منافق نیست,saadi
آنکه در راه عشق خاموش ست \ نکته گویست اگر چه ناطق نیست,saadi
نکته مرد فکرتست و نظر \ وندر آن نکته جز دقایق نیست,saadi
آه سرد و سرشگ و گونه زرد \ هر سه در عشق بی حقایق نیست,sanaee
هر که مست از شراب عشق بود \ احتسابش مکن که فاسق نیست,sanaee
تو به از عاشقان امید مدار \ عشق و توبه بهم موافق نیست,sanaee
دل به عشق زنده در تن مرد \ مرده باشد دلی که عاشق نیست,saadi
ور سنایی نه عاشق ست بگو \ سخنش باطلست و لایق نیست,sanaee
ساقیا می ده که جز می عشق را پدرام نیست \ وین دلم را طاقت اندیشه ایام نیست,sanaee
پخته عشقم شراب خام خواهی زان کجا \ سازگار پخته جانا جز شراب خام نیست,khaghani
با فلک آسایش و آرام چون باشد ترا \ چون فلک را در نهاد آسایش و آرام نیست,saadi
عشق در ظاهر حرامست از پی نامحرمان \ زان که هر بیگانه ای شایسته این نام نیست,khaghani
خوردن می نهی شد زان نیز در ایام ما \ کاندرین ایام هر دستی سزای جام نیست,sanaee
تا نیفتد بر امید عشق در دام هوا \ کاین ره خاصست اندر وی مجال عام نیست,sanaee
هست خاص و عام نی نزدیک هر فرزانه ای \ دانه دام هوا جز جام جان انجام نیست,sanaee
جاهلان را در چراگه دام هست و دانه نی \ عاشقان را باز در ره دانه هست و دام نیست,saadi
در دل آن را که روشنایی نیست \ در خراباتش آشنایی نیست,sanaee
در خرابات خود به هیچ سبیل \ موضع مردم مرایی نیست,sanaee
پسرا خیز و جام باده بیار \ که مرا برگ پارسایی نیست,saadi
جرعه ای می به جان و دل بخرم \ پیش کس می بدین روایی نیست,khaghani
می خور و علم قیل و قال مگوی \ وای تو کاین سخن ملایی نیست,saadi
چند گویی تو چون و چند چرا \ زین معانی ترا رهایی نیست,khaghani
در مقام وجود و منزل کشف \ چونی و چندی و چرایی نیست,saadi
تو یکی گرد دل برآری و ببین \ در دل تو غم دوتایی نیست,khaghani
تو خود از خویش کی رسی به خدای \ که ترا خود ز خود جدایی نیست,saadi
چون به جایی رسی که جز تو شوی \ بعد از آن حال جز خدایی نیست,khaghani
تو مخوانم سنایی ای غافل \ کاین سخنها به خودنمایی نیست,saadi
دان و آگه باش اگر شرطی نباشد با منت \ بامدادان پگه دست منست و دامنت,sanaee
چند ازین شوخی قرارم ده زمانی بر زمین \ نه همین آب و زمین بخشید باید با منت,khaghani
سوزنی گشتم به باریکی به خیاطی فرست \ تا همی دوزد گریبان و زه پیراهنت,sanaee
آتش هجرت به خرمنگاه صبرم باز خورد \ گفت از تو بر نگردم تا نسوزم خرمنت,khaghani
گر نگیری دستم ای جان جهان در عشق خویش \ پیشت افتم باژگونه خون من در گردنت,sanaee
نگارینا دلم بردی خدایم بر تو داور باد \ به دست هجر بسپردی خدایم بر تو داور باد,khaghani
وفاهایی که من کردم مکافاتش جفا آمد \ بتا بس ناجوانمردی خدایم بر تو داور باد,saadi
به تو من زان سپردم دل نگارا تا مرا باشی \ چو دل بردی و جان بردی خدایم بر تو داور باد,sanaee
زدی اندر دل و جانم ز عشقت آتش هجران \ دمار از من برآوردی خدایم بر تو داور باد,sanaee
معشوق به سامان شد تا باد چنین باد \ کفرش همه ایمان شد تا باد چنین باد,saadi
زان لب که همی زهر فشاندی به تکبر \ اکنون شکر افشان شد تا باد چنین باد,sanaee
آن غمزه که بد بودی با مدعی سست \ امروز بتر زان شد تا باد چنین باد,sanaee
آن رخ که شکر بود نهانش به لطافت \ اکنون شکرستان شد تا باد چنین باد,saadi
حاسد که چو دامنش ببوسید همی پای \ بی سر چو گریبان شد تا باد چنین باد,saadi
نعلی که بینداخت همی مرکبش از پای \ تاج سر سلطان شد تا باد چنین باد,sanaee
پیداش جفا بودی و پنهانش لطافت \ پیداش چو پنهان شد تا باد چنین باد,sanaee
چون گل همه تن بودی تا بود چنین بود \ چون باده همه جان شد تا باد چنین باد,sanaee
دیوی که بر آن کفر همی داشت مر او را \ آن دیو مسلمان شد تا باد چنین باد,saadi
تا لاجرم از شکر سنایی چو سنایی \ مشهور خراسان شد تا باد چنین باد,sanaee
دوش یارم به بر خویش مرا بار نداد \ قوت جانم زد و یاقوت شکر بار نداد,sanaee
آن درختی که همه عمر بکشتم به امید \ دوش در فرقت او خشک شد و بار نداد,khaghani
شب تاریک چو من حلقه زدم بر در او \ بار چون داد دل او که مرا بار نداد,saadi
این چنین کار از آن یار مرا آمد پیش \ کم ز یک ماه دل و چشم مرا کار نداد,sanaee
شربتی ساخته بود از شکر و آب حیات \ نه نکو کرد که یک قطره به بیمار نداد,saadi
هر که او دل به غم یار دهد خسته شود \ رسته آنست که او دل به غم یار نداد,sanaee
روزی دل من مرا نشان داد \ وز ماه من او خبر به جان داد,sanaee
گفتا بشنو نشان ماهی \ کو نامه عشق در جهان داد,sanaee
خورشید رهی او نزیبد \ مه بوسه ورا بر آستان داد,saadi
یک روز مرا بخواند و بنواخت \ و آنگاه به وصل من زبان داد,saadi
برداشت پیاله و دمادم \ می داد مرا و بی کران داد,khaghani
من دانستم که می بلاییست \ لیکن چه کنم مرا چو ز آن داد,sanaee
از باده چنان مرا بیازرد \ کز سر بگرفت و در میان داد,khaghani
تا نگار من ز محفل پای در محمل نهاد \ داغ حسرت عاشقان را سر به سر بر دل نهاد,khaghani
دلبران بی دل شدند زانگه که او بربست بار \ عاشقان دادند جان چون پای در محمل نهاد,saadi
روز من چون تیره زلفش گشت از هجران او \ چون بدیدم کان غلامش رخت بر بازل نهاد,khaghani
زان جمال همچو ماهش هر چه بود از تیره شب \ شد هزیمت چون نگارم رخ سوی منزل نهاد,sanaee
زاب چشم عاشقان آن راه شد پر آب و گل \ تا به منزل نارمید او گام خود در گل نهاد,sanaee
راه او پر گل همی شد کز فراق خود همی \ در دو دیده عالمی از عشق خود پلپل نهاد,sanaee
چاکر از غم دل ز مهرت برگرفت از بهر آنک \ با اصیل الملک خواجه اسعد مقبل نهاد,sanaee
این نه زلفست آنکه او بر عارض رخشان نهاد \ صورت جوریست کو بر عدل نوشروان نهاد,sanaee
گر زند بر زهر بوسه زهر گردد چون شکر \ یارب آن چندین حلاوت در لبی بتوان نهاد,sanaee
توبه و پرهیز ما را تابش از هم باز کرد \ تا به عمدا زلف را بر آن رخ تابان نهاد,sanaee
از دل من وز سر زلفین او اندازه کرد \ آنکه در میدان مدار گوی در چوگان نهاد,sanaee
دیدمش یک روز شادان و خرامان از کشی \ همچو ماهی کش فلک یک روز در دوران نهاد,khaghani
گفتم ای مست جمال آن وعده وصل تو کو \ خوش بخندید آن صنم انگشت بر دندان نهاد,khaghani
گفت مستم خوانی و بر وعده من دل نهی \ ساده دل مردا که بر وعده مستان نهاد,saadi
تا کی کنم از طره تو فریاد \ تا کی کشم از غمزه تو بیداد,khaghani
یک شهر زن و مرد همی باز ندانند \ فریاد من از خنده و بیداد تو از داد,saadi
آن روز که زلفین نگون تو بدیدند \ گشتند ترا بنده چو من بنده و آزاد,khaghani
هشیار نشد هر که ز گفتار تو شد مست \ غمناک نشد هر که ز دیدار تو شد شاد,sanaee
من با رخ چون لاله و با عارض چون مشک \ با قامت چون تیر ز وصل تو کنم یاد,saadi
تو زر کنی از لاله و کافور کنی مشک \ چوگان کنی از تیز زهی جادوی استاد,saadi
ویران کنی آن دل که درو سازی منزل \ هرگز نگذاری که بود منزلت آباد,saadi
ای منزل تو گشته ز آشوب تو ویران \ آن شهر کزو خاستی آباد همی باد,sanaee
جیحون شده چشم من از آن زلف سمن سا \ بر باد شده زلف تو از قامت شمشاد,khaghani
مشهور جهان گشته سنایی ز غم تو \ از روی چو خورشید تو ای طرفه بغداد,sanaee
تو مایه خوبی شدی ای مایه خوبان \ افگنده درین خسته دلم عشق تو بنیاد,sanaee
صد رحمت و صد شادی بر جان تو ای بت \ مادر که ترا زاد بر او نیز دعا باد,saadi
ایام چو من عاشق جانباز نیابد \ دلداده چنو دلبر طناز نیابد,khaghani
از روی نیاز او همه را روی نماید \ یک دلشده او را ز ره ناز نیابد,khaghani
بگداخت مرا طره طرارش از آن سان \ پیشم به دو صد غمزه غماز نیابد,sanaee
چونان شده ام من ز نحیفی و نزاری \ کز من به جز از گوش من آواز نیابد,saadi
رفت ست بر دوست نیاید بر من دل \ داند که چنو یک بت دمساز نیابد,saadi
گشتست دل آگاه که من هیچ نماندم \ زان باز نیاید که مرا باز نیابد,saadi
مرا عشق نگارینم چو آتش در جگر بندد \ به مژگان در همی دانم مرا عقد درر بندد,saadi
بیاید هر شبی هجران به بالینم فرو کوبد \ بدان آید همی هر شب که چشمم بر سهر بندد,sanaee
به یارم گفت وی را من که خواب من نبد ای جان \ یقین دانم که گر گویم به رغم من تبر بندد,sanaee
سحرگه صعب تر باشد مرا هجران آن دلبر \ که جادو بندهای سخت در وقت سحر بندد,saadi
همی دانم من ای دلبر که هستم من غریب ایدر \ ببینی محملم فردا شتربان بر شتر بندد,sanaee
کسی کاندر تو دل بندد همی بر خویشتن خندد \ که جز بی معنیی چون تو چو تو دلدار نپسندد,sanaee
وگر نو کیسه عشق تو از شوخی به دست آری \ قباها کز تو در پوشد کمرها کز تو در بندد,saadi
ز عمر و صبر و دین ببرید آنکو بست بر تو دل \ ز جاه و مال و جان بگسست هر کو با تو پیوندد,sanaee
سنایی گر به تو دل داد بستاند که بدعهدی \ گزافست این چنین زیرک ز ناجنسی کمر رندد,sanaee
که گر تو فی المثل جانی چنان بستاند از تو دل \ که یک چشمت همی گوید دگر چشمت همی خندد,saadi
آنکس که ز عاشقی خبر دارد \ دایم سر نیش بر جگر دارد,khaghani
جان را به قضای عشق بسپارد \ تن پیش بلا و غم سپر دارد,saadi
گه دست بلا فراز دل گیرد \ گه سنگ تعب به زیر سر دارد,khaghani
پیوسته چو من فگنده تن گردد \ دل را ز هوای نفس بر دارد,sanaee
بگسسته شود ز شهر و ز مسکن \ هر دم زدنی رهی دگر دارد,khaghani
هر چند که زهر عشق می نوشد \ آن زهر به گونه شکر دارد,khaghani
وان دیده به دست غیر بردوزد \ کو جز به جمال حق نظر دارد,khaghani
ای یار مقامر خراباتی \ طبع تو طریق مختصر دارد,sanaee
بنمای به من کسی که او چون من \ در کوی مقامری مقر دارد,khaghani
یا از ره کم زنان نشان جوید \ یا از دل بی دلان خبر دارد,sanaee
دلم با عشق آن بت کار دارد \ که او با عاشقان پیکار دارد,sanaee
به دست عشقبازی در فتادم \ که او عاشق چو من بسیار دارد,sanaee
دل من عاشق عشقست و شاید \ که از من یار دل بیزار دارد,sanaee
کرا معشوق جز عشقست از آنست \ که او آیینه زنگار دارد,khaghani
یکی باغست این پر گل ولیکن \ همه پیرامن او خار دارد,sanaee
نبیند هرگز آنکس خواب را روی \ که عشق او را شبی بیدار دارد,khaghani
نه هموارست راه عشق آنکس \ که با جان عشق را هموار دارد,sanaee
غم جانان خرد و جان فروشد \ کسی کو ره بدین بازار دارد,sanaee
آنرا که خدا از قلم لطف نگارد \ شاید که به خود زحمت مشاطه نیارد,saadi
مشاطه چه حاجت بود آن را که همی حسن \ هر ساعت ماهی ز گریبانش برآرد,sanaee
انگشت نمای همه دلها شود ار چه \ ناخنش نباشد که سر خویش بخارد,saadi
با زحمت شانه چکند چنبر زلفی \ کاندر شب او عقل همی روز گذارد,khaghani
مشاطه نه خام آید جایی که بدانجای \ نقاش ازل بر صفتش خامه گذارد,sanaee
کی زشت شود روی نکو ار بنشویند \ کی خشک شود طوبی اگر ابر نبارد,sanaee
ای آنکه همه برزگر دیو در اسلام \ در مزرعه جان تو جز لاف نکارد,sanaee
مشاطه تو چون تو بوی دیو تو لابد \ هم نقش ترا بر دل و جان تو نگارد,sanaee
کانکس که مر او را نبود جلوه گر از عشق \ شهد از لب او جان و خرد زهر شمارد,sanaee
وانرا که قبولش نکند عالم اقبال \ گر گلشکری گردد کس را نگوارد,saadi
حقا که به مردم سقر نقد ببینی \ گر هیچ ترا حسن به خوی تو سپارد,saadi
هر روز دگر لام کشی از پی خوبی \ زین لام چه فایده کالف هیچ ندارد,saadi
آنجا که چنو جان طلبی یافت سنایی \ جان را بگذارد چو تویی را نگذارد,khaghani
با من بت من تیغ جفا آخته دارد \ صبر از دل من جمله برون تاخته دارد,sanaee
او را دلم آرامگه ست و عجبست این \ کارامگه خویش برانداخته دارد,sanaee
صد مشعله از عشق برافروخته دارم \ تا صد علم از حسن برافراخته دارد,saadi
جانم ببرد تا ندبی نرد ببازم \ زیرا که دلم در ندبی باخته دارد,sanaee
صد سلسله دارد ز شبه ساخته بر سیم \ آن سلسله گویی پی من ساخته دارد,sanaee
نور رخ تو قمر ندارد \ شیرینی تو شکر ندارد,sanaee
خوش باد عشق خوبرویی \ کز خوبی او خبر ندارد,khaghani
دارنده شرق و غرب سلطان \ والله که چو تو دگر ندارد,sanaee
رضوان بهشت حق یقینم \ چون تو به سزا پسر ندارد,saadi
خوبی که بدو رسید بتوان \ باغی باشد که در ندارد,sanaee
با زر بزید به کام عاشق \ پس چون کند آنکه زر ندارد,sanaee
بی وصل تو بود عاشقانت \ چون شخص بود که سر ندارد,sanaee
رو خوبی کن چنانکه خوبی \ کاین خوبی دیر بر ندارد,sanaee
هر چند نصیحت سنایی \ نزد تو بسی خطر ندارد,sanaee
آنی که چو تو گردش ایام ندارد \ سلطان چو تو معشوق دلارام ندارد,khaghani
چون دانه یاقوت تو گل دانه ندارد \ چون دام بناگوش توبه دام ندارد,khaghani
بادی نبرد در همه آفاق که از ما \ سوی لب تو نامه و پیغام ندارد,saadi
دادی ندهد عشق تو ما را که در آن داد \ بی داد تو افراخته صمصام ندارد,sanaee
من در نرسم در تو به صد حیله و افسون \ گویی قدم دولت من گام ندارد,sanaee
تا لب تو آنچه بهتر آن برد \ کس ندانم کز لب تو جان برد,saadi
دل خرد لعل تو و ارزان خرد \ جان برد جزع تو و آسان برد,sanaee
کیست آن کو پیش تو سجده نبرد \ بنده باری از بن دندان برد,sanaee
زلف تو چوگان به دست آمد پدید \ صبر کن تا گوی در میدان برد,sanaee
مردن مردان کنون آمد پدید \ باش تا شبرنگ در جولان برد,sanaee
من کیم کز تو توانم برد ناز \ ناز تو گر تو تویی سلطان برد,khaghani
منم که دل نکنم ساعتی ز مهر تو سرد \ ز یاد تو نبوم فرد اگر بوم ز تو فرد,sanaee
اگر زمانه ندارد ترا مساعد من \ زمانه را و تو را کی توان مساعد کرد,sanaee
جز آنکه قبله کنم صورت خیال ترا \ همی گذارم با آب چشم و با رخ زرد,khaghani
همه دریغ و همه درد من ز تست و ز تو \ به باد تو گرم و به باد سرد تو سرد,khaghani
من آن کسم که مرا عالمی پر از خصمند \ همی برآیم با عالمی به جنگ و نبرد,sanaee
گر از تو عاجزم این حال را چگونه کنم \ به پیش خصمان مردم به پیش عشق نه مرد,khaghani
روان و جانی و مهجور من ز جان و روان \ به یک دل اندر زین بیشتر نباشد درد,saadi
اگر جهان همه بر فرق من فرود آید \ به نیم ذره نیاید به روی من برگرد,khaghani
دریغم آنکه به فصل بهار و لاله و گل \ به یاد روی تو درد و دریغ باید خورد,khaghani
زلف پر تابت مرا در تاب کرد \ چشم پر خوابت مرا بی خواب کرد,khaghani
با تن من کرد نور عارضت \ آنکه با تار قصب مهتاب کرد,sanaee
عنبرین زلف چو چوگان خم گرفت \ تا دلم چو گوی در طبطاب کرد,saadi
وان لب عناب گونت طعنه کرد \ تا سرشگم سرخ چون عناب کرد,saadi
گر عجب بود آنکه عشق تو مرا \ مست و هالک بی نبید ناب کرد,sanaee
این عجب تر آنکه عشقت رایگان \ چشم من پر لولو خوشاب کرد,saadi
میغ روی خوب چون خورشید تو \ چشمه خورشید را محراب کرد,saadi
و آتش روی ترا چون سجده برد \ همچو ابدالان گذر بر آب کرد,sanaee
عاشقی تا در دل ما راه کرد \ اغلب انفاس ما را آه کرد,sanaee
بود هر باری دلم عاشق به طوع \ برد و زیر پای عشق اکراه کرد,khaghani
عیش چون نوش مرا چون زهر کرد \ صبر چون کوه مرا چون کاه کرد,khaghani
باز در شهر مسلمانان مغی \ کرد ما را بسته و ناگاه کرد,sanaee
از تن باریک من زنار ساخت \ وز دل سنگینم آتشگاه کرد,saadi
با همه محنت که دیدم من به عشق \ کو مرا بی قدر و آب و جاه کرد,saadi
نیک خواهم عشق را گر چه مرا \ او به کام دشمن و بدخواه کرد,khaghani
سوال کرد دل من که دوست با تو چه کرد \ چرات بینم با اشک سرخ و با رخ زرد,khaghani
دراز قصه نگویم حدیث جمله کنم \ هر آنچه گفت نکرد و هر آنچه کشت نخورد,sanaee
جفا نمود و نبخشود و دل ربود و نداد \ وفا بگفت و نکرد و جفا نگفت و بکرد,sanaee
چو پیشم آمد کردم سلام روی بتافت \ چو آستینش گرفتم گفت بردا برد,khaghani
نه چاره ای که دل از دوستیش برگیرم \ نه حیله ای که توانمش باز راه آورد,sanaee
بر انتظار میان دو حال ماندستم \ کشید باید رنج و چشید باید درد,sanaee
ایا سنایی لولو ز دیدگانت مبار \ که در عقیله هجران صبور باید مرد,sanaee
روی خوبت نهان چه خواهی کرد \ شورش عاشقان چه خواهی کرد,sanaee
مشک زلفی و نرگسین چشمی \ تا بدان نرگسان چه خواهی کرد,khaghani
خونم از دیدگان بپالودی \ رنج این دیدگان چه خواهی کرد,khaghani
هر زمان با تو یار اندیشم \ تا تو اندر جهان چه خواهی کرد,khaghani
نقش آب روان مباش به پاس \ نقش آب روان چه خواهی کرد,saadi
مژه تیری و ابروان چو کمان \ پس تو تیر و کمان چه خواهی کرد,khaghani
دل ببردی و قصد جان کردی \ یله کن جان تو جان چه خواهی کرد,saadi
زان کمر طرف بر میان من ست \ بار آن بر میان چه خواهی کرد,khaghani
ای چو جان و دلم به هر وصلت \ وصلت عاشقان چه خواهی کرد,saadi
چون سنایی سگی به کوی تو در \ نعره پاسبان چه خواهی کرد,sanaee
ناز را رویی بباید همچو ورد \ چون نداری گرد بدخویی مگرد,khaghani
یا بگستر فرش زیبایی و حسن \ یا بساط کبر و ناز اندر نورد,saadi
نیکویی و لطف گو با تاج و کبر \ کعبتین و مهره گو با تخته نرد,sanaee
در سرت بادست و بر رو آب نیست \ پس میان ما دو تن زین ست گرد,khaghani
زشت باشد روی نازیبا و ناز \ صعب باشد چشم نا بینا و درد,saadi
جوهرت ز اول نبودست این چنین \ با تو ناز و کبر کرد این کار کرد,saadi
زر ز معدن سرخ روی آید برون \ صحبت ناجنس کردش روی زرد,saadi
کی کند ناخوب را بیداد خوب \ چون کند نامرد را کافور مرد,sanaee
تو همه بادی و ما را با تو صلح \ ما ترا خاک و ترا با ما نبرد,sanaee
لیکن از یاد تو ما را چاره نیست \ تا دین خاکست ما را آب خورد,khaghani
ناز با ما کن که درباید همی \ این نیاز گرم را آن ناز سرد,sanaee
ور ثنا خواهی که باشد جفت تو \ با سنایی چون سنایی باش فرد,saadi
در جهان امروز بردار برد اوست \ باردی باشد بدو گفتن که برد,sanaee
ای کم شده وفای تو این نیز بگذرد \ و ا فزون شده جفای تو این نیز بگذرد,sanaee
زین بیش نیک بود به من بنده رای تو \ گر بد شدست رای تو این نیز بگذرد,saadi
گر هست بی گناه دل زار مستمند \ در محنت و بلای تو این نیز بگذرد,sanaee
وصل تو کی بود نظر دلگشای تو \ گر نیست دلگشای تو این نیز بگذرد,saadi
گر دوری از هوای من و هست روز و شب \ جای دگر هوای تو این نیز بگذرد,sanaee
بگذشت آن زمانه که بودم سزای تو \ اکنون نیم سزای تو این نیز بگذرد,saadi
گر سر گشتی تو از من و خواهی که نگذرم \ گرد در سرای تو این نیز بگذرد,sanaee
صحبت معشوق انتظار نیرزد \ بوی گل و لاله زخم خار نیرزد,khaghani
وصل نخواهم که هجر قاعده اوست \ خوردن می محنت خمار نیرزد,khaghani
ز آن سوی دریای عشق گر همه سودست \ آنهمه نسود آفت گذار نیرزد,saadi
این دو سه روز غم وصال و فراقت \ اینهمه آشوب کار و بار نیرزد,sanaee
روز شود در شمارم از غم جانان \ خود عمل عاشقی شمار نیرزد,sanaee
عشق آن معشوق خوش بر عقل و بر ادراک زد \ عشق بازی را بکرد و خاک بر افلاک زد,saadi
بر جمال و چهره او عقلها را پیرهن \ نعره عشق از گریبان تا به دامن چاک زد,sanaee
حسن او خورشید و ماه و زهره بر فتراک بست \ لطف او در چشم آب و باد و آتش خاک زد,khaghani
آتش عشقش جنیبتهای زر چون در کشید \ آب حیوانش به خدمت چنگ در فتراک زد,sanaee
شاه عشقش چون یکی بر کد خدای روم تاخت \ گفتی افریدون در آمد گرز بر ضحاک زد,sanaee
زهر او آب رخ تریاک برد و پاک برد \ درد او بر لشکر درمان زد و بی باک زد,khaghani
درد او دیده چو افسر بر سر درمان نهاد \ زهر او چون تیغ دل بر تارک تریاک زد,khaghani
جادوی استاد پیش خاک پای او بسی \ بوسه های سرنگون بر پایش از ادراک زد,sanaee
عقل و جان را همچو شمع و مشعله کرد آنگهی \ آتش بی باک را در عقل و جان پاک زد,saadi
می سنایی را همو داد و همو زان پس به جرم \ سرنگون چون خوشه کرد و حدبه چوب تاک زد,saadi
خوبت آراست ای غلام ایزد \ چشم بد دورخه به نام ایزد,saadi
نافرید و نیاورید به حسن \ هیچ صورت چو تو تمام ایزد,sanaee
در جهان جمالت از رخ و زلف \ بهم آورد صبح و شام ایزد,khaghani
سبب آبروی جانها کرد \ خاک کوی تو گام گام ایزد,sanaee
از پی عزت جمال تو داد \ صورت لطف را قوام ایزد,sanaee
از پی منت وجود تو کرد \ گردنانرا به زیر وام ایزد,sanaee
از پی خدمت رکاب تو داد \ آدمی را دم دوام ایزد,khaghani
کرد گرد سم ستور رهت \ سرمه چشم خاص و عام ایزد,sanaee
برهمن را چو پرسی ایزد کیست \ گوید آن رخ نگر کدام ایزد,khaghani
ای به هر دم شراب آدم خوار \ زده بر جام جانت جام ایزد,sanaee
سر دام خودی نداری هیچ \ زان مدامت دهد مدام ایزد,saadi
وز برای شکار دلها ساخت \ خال تو دانه زلف دام ایزد,saadi
آنچنان کعبه ای که هست ترا \ در و دیوار و صحن و بام ایزد,khaghani
بده انصاف هیچ وا نگرفت \ از تو از نیکویی و کام ایزد,saadi
خوبت آراسته ست طرفه تر آنک \ خود همی گویدت به نام ایزد,sanaee
تو مقیمی از آن سنایی را \ داد بر درگهت مقام ایزد,sanaee
زهی مه رخ زهی زیبا بنامیزد بنامیزد \ زهی خوشخو زهی والا بنامیزد بنامیزد,khaghani
غبار نعل اسب تو به دیده درکشد حورا \ زهی سیرت زهی آسا بنامیزد بنامیزد,sanaee
ز شرم روی و دندانت خجل پروین و مه هر شب \ زهی زهره زهی جوزا بنامیزد بنامیزد,saadi
ز خجلت سرو قدت را همی گوید پس از سجده \ زهی قامت زهی بالا بنامیزد بنامیزد,sanaee
من از عشق و تو از خوبی به عالم در سمر گشته \ زهی وامق زهی عذرا بنامیزد بنامیزد,khaghani
زهی چابک زهی شیرین بنامیزد بنامیزد \ زهی خسرو زهی شیرین بنامیزد بنامیزد,khaghani
میان مجلس عشرت ز گم گویی و خوشخویی \ زهی سوسن زهی نسرین بنامیزد بنامیزد,saadi
میان مردمان اندر ز خوش خویی و دلجویی \ زهی زهره زهی پروین بنامیزد بنامیزد,saadi
دو قبضه جان همی باشد به غمزه ناوک مژگانت \ زهی ناوک زهی زوبین بنامیزد بنامیزد,sanaee
خرد زان صورت و سیرت همی عاجز فروماند \ زهی آیین زهی آذین بنامیزد بنامیزد,saadi
مرا گفتی تویی عاشق بدین ره جان و دل در باز \ زهی فرمان زهی تلقین بنامیزد بنامیزد,saadi
ز درد عشق خود رستم ز درد خویشتن بینی \ زهی شربت زهی تسکین بنامیزد بنامیزد,khaghani
چو چشم و شکل دندانت ببینم هر زمان گویم \ زهی طاها زهی یاسین بنامیزد بنامیزد,khaghani
گل افشان شد همی چشمم ز نعل سم یک رانت \ زهی امکان زهی تمکین بنامیزد بنامیزد,khaghani
سگی خواندی سنایی را وانگه گفتی آن من \ زهی احسان زهی تحسین بنامیزد بنامیزد,khaghani
چه رنگهاست که آن شوخ دیده نامیزد \ که تا مگر دلم از صحبتش بپرهیزد,khaghani
گهی ز طیره گری نکته ای دراندازد \ گهی به بلعجبی فتنه ای برانگیزد,sanaee
به هیچ وقت به بازی کرشمه ای نکند \ که صد هزار دل از غمزه درنیاویزد,sanaee
گهی کزو به نفورم بر من آید زود \ گهش چو خوانم با من به قصد بستیزد,khaghani
ز بهر خصم همی سرمه سازد از دیده \ چو دود یافت ز بهر سنایی آمیزد,saadi
خبر ندارد از آن کز بلاش نگریزم \ که هیچ تشنه ز آب فرات نگریزد,saadi
هزار شربت زهر ار ز دست او بخورم \ ز عشق نعره هل من مزید برخیزد,khaghani
نه از غمست که چشمم همی ز راه مژه \ هزار دریا پالونه وار می بیزد,saadi
به هر که مردم چشمم نگه کند جز از او \ جنایتی شمرد آب ازان سبب ریزد,saadi
جواب آن غزل خواجه بو سعید است این \ مرا دلیست که با عافیت نیامیزد,sanaee
دگر گردی روا باشد دلم غمگین چرا باشد \ جهان پر خوبرویانند آن کن کت روا باشد,saadi
ترا گر من بوم شاید وگر نه هم روا باشد \ ترا چون من فراوانند مرا چون تو کجا باشد,saadi
جفاهای تو نزد من مکافاتش به جا باشد \ ولیکن آن کند هر کس که از اصلش سزا باشد,saadi
نگویند ای مسلمانان هرانکو مبتلا باشد \ نباشد مبتلا الا خداوند بلا باشد,sanaee
چنین گیرم که این عالم همه یکسر ترا باشد \ نه آخر هر فرازی را نشیبی در قفا باشد,sanaee
سنایی از غم عشقت سنایی گشت ای دلبر \ مگویید ای مسلمانان خطا باشد خطا باشد,khaghani
معشوق که او چابک و چالاک نباشد \ آرام دل عاشق غمناک نباشد,sanaee
از چرخ ستمکاره نباشد به غم و بیم \ آن را که چو تو دلبر بی باک نباشد,sanaee
در مرتبه از خاک بسی کم بود آن جان \ کو زیر کف پای تو چون خاک نباشد,sanaee
نادان بود آنکس که ترا دید و از آن پس \ از مهر دگر خوبان دل پاک نباشد,sanaee
روی تو و موی تو بسنده ست جهان را \ گو روز و شب و انجم و افلاک نباشد,sanaee
دامن نزند شادی با جان سنایی \ روزی که دلش از غم تو چاک نباشد,sanaee
هر دل که قرین غم نباشد \ از عشق بر او رقم نباشد,khaghani
من عشق تو اختیار کردم \ شاید که مرا درم نباشد,khaghani
زیرا که درم هم از جهانست \ جانان و جهان بهم نباشد,sanaee
با دیدن رویت ای نگارین \ گویی که غمست غم نباشد,sanaee
تا در دل من نشسته باشی \ هرگز دل من دژم نباشد,sanaee
پیوسته در آن بود سنایی \ تا جز به تو متهم نباشد,sanaee
در مهر ماه زهدم و دینم خراب شد \ ایمان و کفر من همه رود و شراب شد,khaghani
زهدم منافقی شد و دینم مشعبدی \ تحقیقها نمایش و آبم سراب شد,saadi
ایمان و کفر چون می و آب زلال بود \ می آب گشت و آب می صرف ناب شد,khaghani
دوش از پیاله ای که ثریاش بنده بود \ صافی می درو چو سهیل و شراب شد,sanaee
از دوست به هر جوری بیزار نباید شد \ از یار به هر زخمی افگار نباید شد,khaghani
ور جان و دل و دین را افگار نخواهی کرد \ با عشق خوش شوخی در کار نباید شد,saadi
